domain,DNSFilter,Umbrella,UmbrellaFamily,Cloudflare,CloudflareGateway,CloudflareFamilies,Google,Quad9,NextDNS,Adguard
52giraffe.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
5techexplore.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
66586658.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
69po.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
7-medya.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
72clothing.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
8004print.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
84ers.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
85szv.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
860259.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
866appliance.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
8m8cm.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
91damimi.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
92jobz.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
989coworking.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
9adhity.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
9jabliss.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
a-freelancer.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aagzz.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aaitrader.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aaktrade.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aamantrankurti.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aaryagold.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
abantesabogados.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
abaoxianshu.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
abcmobile.net,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
abderfiene.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
abkascomarine.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
abrashipping.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
abrirmeiportaldoempreendedor.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
absolutelyclean.net,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
academiaprogreso.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
acaicode.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
accountingtoindia.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
accurateastrologys.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
acilevarkadasi.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aciparis.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
acquavivahotel.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
acsboda.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ad-nalitica.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ad4teg.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adahomemodifications.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
adalimmigrations.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adampettycreative.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adamwilt15.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adanzyeyapi.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adbord.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adelantosi.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
adigitalteam.com,blocked,allowed,allowed,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adimoni.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
admolex.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adrienneaubrecht.net,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adspioneer.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
adventuretravelfair.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
adwaaalkhalej.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
